시설명,X,Y
송파구방이복지관,208651.96906081215,545105.8098333739
서울시각장애인복지관,208317.7424097984,545187.4109392836
서울시립발달장애인복지관,192899.81259540585,543756.2357893371
청음복지관,203745.06404180807,545548.855806653
마포장애인종합복지관,191966.14165143383,551578.632818147
다운복지관,207088.52492535577,557709.9623762729
원광장애인종합복지관,208478.481821068,556073.310077563
성프란치스꼬장애인종합복지관,190316.88151611897,542464.1983665512
성모자애복지관,210568.9483171037,541186.0524238386
대린원,205015.56204986497,564547.0587318793
동천의집,206471.52777337804,560533.6658801083
누림홈,162976.5894435133,561784.4489130047
삼성농아원,195218.824134786,544407.7949282553
다니엘복지원,208142.3707006646,540115.6482698756
늘편한집,207117.6880689067,561137.4152863285
임마누엘집,212971.7148107412,543567.1777736834
임마누엘보호작업시설,212971.7148107412,543567.1777736834
아름해든집,214026.12202356063,550916.8098483314
신아재활원,212876.43737443085,543570.7701313504
우성원,214026.12202356063,550916.8098483314
해맑은마음터,162965.77763872387,561825.4536849429
영락애니아의집,198345.79987620623,549886.8819411768
사랑의집,193273.20290316927,556629.8571936077
암사재활원,211594.44430682503,550964.235874441
문혜장애인요양원,232101.48753009844,621002.4870445477
참 좋은집,286329.7017723697,496536.340386667
은평재활원,191771.7800540248,556237.133218867
오틸리아 공동생활가정,202584.68679314863,545692.9974666025
생수의집,221836.0893470625,585214.2182485916
에스알씨(SRC)보듬터,225401.7769878727,535656.6494235635
새빛바울의집,198964.75507461204,543191.8007492564
바르티매오공동생활가정,193585.76921112207,556670.9973198352
은혜장애인요양원,232242.7127367269,621300.3221242815
동천하우스5,207104.4871578548,554504.7213623512
교남소망의집,186965.35398690053,549855.9878650167
베데스다의 집,207455.0312791864,560819.0267741141
베데스다장애인주간보호센터,206853.84844557883,559648.3971514218
아름다운,208291.65397685827,555487.7868198894
신망애의집,202154.2302436759,542177.452007397
마리스타보호작업장,286329.7017723697,496536.340386667
강북구립장애인보호작업장,203486.495136431,558866.8040982429
한사랑장애영아원,227811.4613364102,534729.2533048503
용산구립장애인보호작업장,197607.26669948676,550239.3488049451
다니엘의집1호,204684.8114988941,540456.2128999047
다니엘의집2호,204559.3907505677,540324.9796278132
다니엘주간보호센터,208142.3707006646,540115.6482698756
다니엘단기보호센터,208142.3707006646,540115.6482698756
사랑나눔주간보호시설,211404.4756249517,545321.3351122099
다니엘직업재활원,208142.3707006646,540115.6482698756
동천,206471.52777337804,560533.6658801083
노원교육복지재단(다모인),206228.0560839648,560584.2681030906
영등포구 장애인사랑나눔의 집,191864.40638767992,544235.8262452409
원광보호작업장,208478.481821068,556073.310077563
참좋은센터,208676.38584951844,556089.8524174852
신아보호작업장,212876.43737443085,543570.7701313504
늘푸른나무복지관,186849.55029055415,552123.89872389
조은세상,207130.8129556432,556119.73352559
서울시립북부장애인종합복지관,205906.97059190823,561694.919974473
서울시립남부장애인종합복지관,193150.81820892176,543923.2829313437
금천장애인종합복지관,190828.4153657049,540510.6306337563
한사랑마을,227811.4613364102,534729.2533048503
볕바라기주간보호센터,191597.51825591587,539208.870360285
데일리스보호작업시설,205721.693457808,551477.8492488725
북서울장애인보호작업시설,203196.77653773697,559275.7835445942
소망의집,201301.8267279268,559991.2074128848
삼성떡프린스,195218.824134786,544407.7949282553
더홈,207117.6880689067,561137.4152863285
서울특별시립평화로운집,191757.0579040456,556359.0472662349
교남어유지동산,199033.6382778322,599829.1780668452
주몽재활원,214460.54855805004,549643.8512172834
소망제이앤피,202718.4728315468,547424.7321376223
다움장애아동지원센터,191810.2734762434,556267.0954798631
보담터,207117.6880689067,561137.4152863285
시립서대문농아인복지관,192388.7637203788,552357.1181669687
승가원행복마을,202622.26817539695,554492.4708556177
라온클린패밀리,214026.12202356063,550916.8098483314
용산구립장애인주간보호센터,197607.26669948676,550239.3488049451
송천한마음의집,225582.9642404576,574354.8588210914
두레네집공동생활가정,193121.69216547732,541710.9727206144
중랑구립직업재활센터,207389.1814411387,557529.811769767
송파인성장애인복지관,213722.67509519728,543836.216328504
사랑의복지관,202121.4186263186,544489.56599351
성북장애인복지관,204029.8497856712,556104.6163144886
한빛맹아원,201385.5779752828,558720.5569916725
하누리주간보호센터,191718.5614290371,537319.732085277
헬렌켈러의집단기거주시설,201397.30184130045,559656.1341434178
헬렌켈러의집주간보호,201924.4224553732,559133.2902834235
다니엘사랑이용센터,208142.3707006646,540115.6482698756
다니엘의집3호,201529.30249769,545743.5353790065
다솜장애인공동생활가정,193180.0357405951,552680.8941551619
아이티장애인공동생활가정,194253.4992908453,554631.6285034001
다솜장애인주간보호센터,193610.36770924332,553104.572384063
신목장애인주간보호시설,189086.731862442,546391.1287854445
디딤자리,201441.1504262965,559307.2347994281
너울자리,213602.4971877893,551312.1789869557
보금자리,213602.4971877893,551312.1789869557
하늘자리공동생활가정,213602.4971877893,551312.1789869557
주바라기해피홈,203811.8823153559,564698.3288835813
동천하우스1,204492.8176103576,563831.7023588236
동천하우스2,206166.76451729733,563010.3982545328
해맑음보호작업시설,208031.8470560382,558988.9006856988
강북구수어통역센터,202617.46507024136,560190.7563690895
그루터기공동생활가정,206309.14149238027,558525.4820546833
관악구수어통역센터,195637.60922641773,542140.5027025338
도봉구수어통역센터,204076.2754937084,561941.4234393394
동천하우스4,203526.71958727,562309.2695121471
동천하우스3,203650.0373625696,563790.7759912399
서울특별시수어통역센터지원본부,196616.89394446605,551255.944742205
인강원,203741.3979285346,566110.7410844362
가브리엘작업장,206154.97368808012,562979.5230824049
가브리엘주간보호센터,206154.97368808012,562979.5230824049
더해봄(종로구립장애인근로사업장),200159.87078554148,552441.3889371083
발달장애인단기거주시설 동천휴,206471.52777337804,560533.6658801083
동천발달장애인주간활동센터,206471.52777337804,560533.6658801083
섬김주간보호센터,205009.5387691672,560303.4915635223
북부장애인직업재활시설,205009.5387691672,560303.4915635223
대린직업훈련원,205015.56204986497,564547.0587318793
위드주간보호센터,192009.7698647288,556440.2770229676
시온공동생활가정,191899.88132104423,556493.5696921562
은평공동생활가정,192192.6422167514,555105.3924827123
꽃새암,193852.18628047037,543442.1950587782
꽃가람,194814.97541997785,543420.5521383394
소망그룹홈,211633.4588928566,547450.8613696866
동안제일복지센터,213012.01218171488,544202.5985407856
강동그룹홈,212226.4300970534,548079.5930060478
송파그룹홈,210072.79868501908,548037.7587986172
동안우리복지센터,211672.9249541987,547867.8426036914
사회복지법인 에덴복지재단 에덴하우스,172935.2636851081,570952.7262008631
해피죤,212741.71308313435,549693.8124145465
바오로교실주간보호센터,191569.0798822349,554259.5459207938
바오로교실보호작업장,191569.0798822349,554259.5459207938
열림일터,186887.68361515735,550005.3227967832
아람마을,205134.05988895576,558796.1619227958
은평구립직업재활센터,193547.30621841687,556170.2885203639
불광작은예수의집,193480.13242410315,558198.1263499672
성북구수어통역센터,201612.26429122832,555098.2340610141
아이비주간보호시설,211979.48377884575,549305.718096812
아이비장애인단기보호시설,211653.88054763072,549585.9552451582
파란마음복지센터,212134.7793155986,548462.0343276194
함께사는세상,194776.02639546583,543291.5320171574
한벗둥지,192219.867753161,551749.9570466318
사랑샘,207117.6880689067,561137.4152863285
하은장애인주간보호시설,188965.254017965,546784.5405170604
기쁨이 싹트는 나무,191238.04221797016,540007.7318674464
신나는 집 장애인공동생활가정,187107.64301898103,544654.7636161724
제4샬롬장애인공동생활가정,200659.3983802635,550621.4396804046
예은장애인주간보호시설,185245.547125338,543844.3851385817
예은장애인공동생활가정,187791.4782319399,547189.3550188137
다은장애인공동생활가정,188221.3110515802,548213.408437101
강동단기보호시설,211278.1935457152,549437.0123308052
성민장애인주간보호소,206146.2604357113,561750.9666110391
라온채,186141.05231806808,544475.11903759
해피워크,203220.0735716832,556109.8561213146
아이티어빌리티센터,213647.14409637425,550741.0829830231
기원주간보호센터,192833.938806148,558256.1969821338
한마음 주간보호센터,192562.72579609236,555676.3793655774
하늘꿈터,204445.4234031342,552483.1106927138
용산구수어통역센터,199211.1069813451,546777.9784754061
시립영등포장애인복지관,192553.47722372625,546558.5451399378
다운주간보호센터,207088.52492535577,557709.9623762729
모랫말꿈터,190899.63677452583,545612.7678735564
강동그린나래복지센터,212065.94645342923,550543.0516546976
새생명의집,241577.878734436,509030.8033990043
성프란치스꼬민들레의집,191859.17485550343,545531.818312122
햇살터(성프란치스꼬),190292.81751865236,542375.3036876833
한마음2호공동생활가정,210451.05741814376,545841.8016335368
SG누리센터,191392.71187674737,538988.5051638439
노원1장애인주간보호센터,205341.3040726671,558939.5582523673
다사랑공동생활가정,201791.3136267436,559817.7665014773
다향공동생활가정,188080.961305684,550757.02493769
나자로의집보호작업장,194214.39957792443,542542.2982359731
북부(종합사회복지관)장애인주간보호센터,204607.9795704181,564433.444769953
실로암장애인근로사업장,194795.13466724256,542621.3149627155
성분도보호작업장,231091.8686796904,524238.2327415054
중계1호,206164.4676183605,560396.1815356815
중계2호그룹홈,206161.7642019414,560435.4810190004
상계(종합사회복지관)장애인주간보호센터,206912.2790312113,563135.9737567421
평화장애인주간활동센터,206104.44622241607,560764.8120419875
영등포구주간보호센터,192042.00596128224,545030.9443905181
에스알씨(SRC)직업재활센터,215699.01282666097,536969.987800229
임마누엘신사공동체,192147.14865666543,555567.8822388219
임마누엘역촌공동체,192703.15108923655,555756.5773886144
서울남부주간보호센터,192899.81259540585,543756.2357893371
남부장애인공동생활가정1호,192325.8105437864,545666.8015598437
남부장애인공동생활가정2호,191746.3493389093,546004.5804112907
한빛장애인주간보호센터,185875.92519531256,546631.9326203506
관음의 집,191814.97148709692,539209.1423701703
지장의 집,191814.97148709692,539209.1423701703
노원시각장애인주간보호센터,205975.4812035093,562233.8703882372
원광장애인주간보호시설,208478.481821068,556073.310077563
보라매주간보호센터,192899.81259540585,543756.2357893371
정겨우리주간보호센터,192169.36239288645,556778.4864932913
정립회관주간보호센터,208627.92921028627,550146.9806368324
강서구수어통역센터,184101.52920953964,550430.6010595841
구로구수어통역센터,189725.67151825107,543595.5314765207
삼전주간보호시설,208399.8516280336,544421.392902574
브니엘의 집,189995.4848820479,544086.1433709722
이수경하우스,207158.640949485,563262.6789557268
송파시각장애인축구장,210388.61133711436,547258.1362848975
송파구장애인운전교육원,208890.8587320532,544138.7413795459
임마누엘시흥공동체,192209.30714769935,540211.2043897163
임마누엘독산공동체,191159.2756779642,540992.975842526
임마누엘신월공동체,186264.65451017825,547147.1752563845
임마누엘신정공동체,-4300055.685762217,9751509.766968498
임마누엘개봉공동체,186283.74209081597,544397.8240768843
임마누엘구로공동체,184973.9112509975,544517.5105903868
임마누엘화곡1공동체,187552.86748178364,548458.6338321533
임마누엘화곡공동체,187075.14165669517,547928.3074715735
임마누엘등촌1공동체,187718.0320359461,550624.0568300348
기쁜우리복지관부설주간보호시설,186651.52069523,552197.9334790496
충현복지관,203266.6677109564,544905.5500824316
해마을주간보호센터,206871.76483377785,543840.5163157817
중랑구수어통역센터,207656.12690371685,553300.8509202567
성모자애 엠마우스공동생활가정 1,210568.9483171037,541186.0524238386
성모자애엠마우스공동생활가정3호,210568.9483171037,541186.0524238386
성모자애공동생활가정,210568.9483171037,541186.0524238386
성모자애주간보호시설,210568.9483171037,541186.0524238386
성모자애제2주간보호센터,210568.9483171037,541186.0524238386
성모자애보호작업장,210568.9483171037,541186.0524238386
사랑손주간보호센터,197292.7668687388,542846.6857096714
서울특별시립장애인생산품판매시설,189582.84945650888,548650.9031100739
동작구립장애인보호작업장,194027.60572749784,545827.2142151017
성동주간보호센터,202986.94171733616,552323.3447897712
성모보호작업장,201639.0532712492,550382.2627707375
성동보호작업장,202986.94171733616,552323.3447897712
성동장애인복지관공동생활가정(믿음의집),201653.01521004297,550379.291057956
성동장애인복지관공동생활가정(소망의집),201653.01521004297,550379.291057956
성동장애인복지관공동생활가정(사랑의집),201653.01521004297,550379.291057956
성동장애인복지관 공동생활가정(기쁨의 집),201873.8502147456,550308.8494382021
광진장애인보호작업장,207150.9837264096,552284.4110393765
은평구수어통역센터,191746.81520700557,553767.5980335032
정립장애인보호작업장,208627.92921028627,550146.9806368324
정립전자,208593.19605998945,550058.2873039338
보라매그룹홈,193530.06741200364,544083.7553468554
자운그룹홈,203878.3992618602,565079.8786720174
까리따스장애인주간보호센터,198603.460519148,541703.2556035531
사랑의일터,199157.9964146248,542242.2652490529
교남공동생활가정4호,186368.27420886868,549195.1784094181
교남공동생활가정1호,186637.65908687923,549622.0345493886
구로구립장애인보호작업장,184143.23234966263,543641.506902534
동천재활체육시설,206471.52777337804,560533.6658801083
교남공동생활가정5호,186110.85320741165,549364.784090624
서초구수어통역센터,201866.17788071957,544332.8355569363
서울남부보호작업장,194031.3464727495,545619.032613259
서울장애인종합복지관,213108.39034659293,550678.8718979873
오뚜기뇌성마비인주간보호센터,205906.97059190823,561694.919974473
참사랑주간보호센터,212262.756615705,544698.2958176517
번동보호작업장,203292.1354074496,559224.7213029555
여성시각장애인주간보호센터,198433.53036840548,551190.9081243305
맑음터단기보호시설,194741.22130806115,549967.1498108106
연화직업재활원,209779.06754443105,545045.1160834229
사랑의복지관 재가복지봉사센터,202121.4186263186,544489.56599351
하하센터,205694.38554627044,559308.0680047418
서초구립주간이용센터,201985.9816399839,542357.4305612149
라파엘 주간보호시설,197057.55594008687,553717.5886489054
서대문장애인주간보호시설,196495.5585616692,551257.6820808648
서은장애인단기보호시설,194105.7820988634,553032.1519720702
브니엘공동생활가정,192192.6422167514,555105.3924827123
벧엘공동생활가정,191804.8838785212,555120.061941095
중계종합사회복지관장애인주간보호센터,206721.10737008823,561887.9978792053
새생명장애인주간보호소,191390.0150743931,545091.3157383362
비둘기주간보호시설,200455.68635373772,553787.5905080461
비둘기직업적응훈련센터,200455.68635373772,553787.5905080461
중구수어통역센터,198833.22248413623,551027.3456887634
미술작은예수의집,208638.2154533808,544897.128354645
영등포구수어통역센터,192428.1309941752,546492.1546005347
노원구수어통역센터,206046.61172460509,562133.3983097621
(사)대한안마사협회부설안마수련원,201729.56829259451,543899.068939952
한마음주간보호시설,201353.7762290277,560373.4309838151
한마음단기거주시설,201314.25050378215,560512.5724616083
햇빛자리,196420.88562922564,549050.950155841
마포장애인주간보호센터,191949.49999995108,551587.5000007058
마포점자도서실,191366.25785644396,551202.4959876981
피어라희망센터,203301.55785612212,561184.2708745531
문혜장애인보호작업장,232336.03875761232,621225.6002037391
무지개동산주간보호,212988.18766604704,544509.6966939139
송파구수어통역센터,211869.69635611857,543792.3692340669
성동구수어통역센터,202973.9579863982,552316.1147844904
마라주간보호센터,210328.9853705068,544753.9504353228
주몽재활의원,214460.54855805004,549643.8512172834
장애인주간보호시설인강원,203741.3979285346,566110.7410844362
보호작업장 인강원,203741.3979285346,566110.7410844362
아미네,202697.72324819805,563073.0360388111
도봉주간보호센터,203327.55114059703,562687.8631010023
마라제3공동생활가정,209015.08270762351,544524.1115099264
마라제1공동생활가정,210328.9853705068,544753.9504353228
마라제2공동생활가정,210328.9853705068,544753.9504353228
충현보호작업장,203253.4935784472,544903.9467065514
THE채움,211404.4756249517,545321.3351122099
라파엘의집,263465.7233321992,528643.807327146
라파엘직업재활센터,265070.52033784165,527713.6910806762
효정비전타운,233175.02814482825,503350.0530927053
헬렌켈러의집,201397.30184130045,559656.1341434178
강남구수어통역센터,203592.29636389305,546441.4927334578
논현공동생활가정,202375.4512782858,545344.390821909
하상주간보호센터,206636.03868862,543674.3661908386
라온홈,193105.13694130364,550120.6998899005
한벗장애인주간보호시설,196481.01827419733,549261.6238153139
행복이가득한집,198213.01186382276,550023.7243112625
임마누엘목동공동체,188300.743054206,549142.0774836056
실로암배움울타리,191479.61984033184,542655.5009067196
사랑쉼터의집,214782.1450221279,549705.9380203114
베다니장애인주간보호시설 ,185465.9711179216,547581.9742359752
가브리엘의집,197836.21035849227,550138.0205531968
동천일리하우스,206471.52777337804,560533.6658801083
우리집,185648.61335545825,552658.545453965
나눔공동체,187343.7336606476,548435.3424877715
선린원,187005.20229127788,549908.5893969279
잔디네집,191454.4461924341,551633.5168887896
푸른터,186691.7841985897,548847.9824098665
푸른터2호,185294.0744642484,549051.6819328134
푸른터3호,186879.2939560009,552122.608588925
강서뇌성마비복지관,183443.7192356667,552756.8691144062
그라나다보호작업센터,186849.55029055415,552123.89872389
강서희망의집,185992.41876574527,549325.6375525965
주간보호센터햇볕교실,182819.9136381057,552327.9766295624
기쁜우리보호작업장,186651.52069523,552197.9334790496
강서구휴먼희망일터,185985.74368889004,551937.2193405231
다복스위트홈,205575.8311021464,561970.6892031643
마라제4공동생활가정,213149.22294589377,544429.3949083129
양지골장애인주간보호시설,190390.63747134517,543682.4171589778
리드릭,190588.72336907964,547146.5954100414
마포구립장애인직업재활센터(수아밀),190274.6108161343,552739.6726553241
강남세움주간보호센터,209454.40127401057,543072.9208860333
파랑새교육원주간보호,186869.9518902819,549985.2397150843
화곡성모공동생활가정,186850.3209597859,548792.9352069227
강남장애인복지관,206496.6923259971,543618.141259243
헬렌의집장애인단기보호시설,189829.5956407592,544163.1586515072
로사리아공동생활가정,186850.3209597859,548792.9352069227
우리집주간보호,185648.61335545825,552658.545453965
꿈손단기거주시설,201134.60556124148,559881.0699702939
금천구수어통역센터,190851.7183331257,541655.110314847
시각장애인주간보호센터,198833.22248413623,551027.3456887634
동대문구수어통역센터,203008.46181329092,552469.8572438392
샬롬의 집,183715.2734428348,550834.5821922034
디딤돌공동생활가정,202391.44663842325,561525.185283644
역삼주간보호센터,202816.04006160627,544115.1797508124
신망애공동생활가정,203339.68057711687,546746.7915339009
서로함께공동생활가정,204033.47781698935,546721.4165908786
똘레랑스,192441.7783008606,557319.9612566328
마로니에공동생활가정,200025.1445971099,554453.5766428105
영락주간보호센터,199021.71904282772,551607.5676310847
성모주간보호센터,201823.02799492533,549482.4439831662
지앤지주간보호센터,201168.21558659128,561632.7267633264
동문장애인복지관,206465.10110448737,553744.4026574803
성민그룹홈,201335.60938304404,561708.7136100313
파란마음주간보호센터,201261.3384270289,550838.1913410211
구립용산장애인복지관,196743.8427556691,548826.7773389202
서초구립한우리정보문화센터,202199.68211771292,542522.4326913542
다니엘의집4호,201882.2205193701,546200.3870468434
행복한 집,193334.1147145501,551711.1739878356
성민복지관,206108.06733468352,561801.4721047826
기쁜우리복지관,186651.52069523,552197.9334790496
강북장애인종합복지관,203449.0988679753,558791.5486644526
삼성소리샘복지관,195218.824134786,544407.7949282553
서울시립뇌성마비복지관,205906.97059190823,561694.919974473
